Club,Partidos,V,E,D,DG,Goles,Pts,Faltas,T.R,T.A,Corner,TaP,Tf,Tt
FC Barcelona,304,234,43,27,617,849,745,1457,12,556,1471,1610,1457,3067
Real Madrid CF,304,228,36,40,539,843,720,1736,20,713,1394,1767,1736,3503
Atlético Madrid,304,167,59,78,203,524,560,1134,15,831,1086,1053,1134,2187
Valencia CF,304,142,74,88,115,484,500,1091,22,891,1158,1095,1091,2185
Sevilla FC,304,139,65,100,81,478,482,1197,26,845,1155,1099,1197,2296
Athletic Club de Bilbao,304,122,71,111,3,415,437,892,23,783,981,828,892,1720
Villarreal CF,266,112,71,83,40,364,407,909,13,643,887,928,909,1837
Málaga CF,304,106,78,120,-30,377,396,699,36,811,691,685,699,1384
RCD Espanyol,304,97,73,134,-96,338,364,665,19,939,674,659,665,1324
Getafe CF,304,94,71,139,-112,345,353,746,25,919,708,691,746,1437
Real Sociedad,228,84,59,85,-5,316,311,579,7,521,572,532,579,1111
CA Osasuna,228,67,64,97,-80,232,265,300,25,600,319,255,300,555
Levante UD,228,69,56,103,-98,241,263,501,17,693,462,429,501,930
RC Deportivo de La Coruña,228,62,74,92,-93,241,260,671,11,524,638,636,671,1307
RCD Mallorca,190,67,44,79,-40,238,245,391,15,497,366,331,391,722
Rayo Vallecano,190,66,28,96,-113,247,226,528,19,583,528,511,528,1039
Real Betis Balompié,190,56,47,87,-75,225,215,435,12,537,381,383,435,818
Real Sporting de Gijón,190,54,44,92,-103,200,206,441,9,524,432,432,441,873
Granada CF,190,52,43,95,-120,179,199,480,14,568,435,440,480,920
RC Celta de Vigo,152,54,35,63,-25,184,197,407,10,412,444,424,407,831
UD Almería,190,48,46,96,-119,202,190,382,20,489,384,303,382,685
Real Zaragoza,152,43,34,75,-81,159,163,295,15,484,275,274,295,569
Racing Santander,152,37,47,68,-66,160,158,215,15,414,188,187,215,402
Real Valladolid,152,37,47,68,-68,170,158,128,12,359,138,132,128,260
Elche CF,76,20,21,35,-47,65,81,192,3,223,166,165,192,357
SD Eibar,76,20,18,38,-33,83,78,327,3,213,326,342,327,669
UD Las Palmas,38,12,8,18,-8,45,44,167,2,97,149,187,167,354
CD Tenerife,38,9,9,20,-34,40,36,87,2,87,68,73,87,160
CD Numancia,38,10,5,23,-31,38,35,28,3,98,24,26,28,54
Hércules Club de Fútbol,38,9,8,21,-24,36,35,57,4,92,71,61,57,118
Xerez Club Deportivo,38,8,10,20,-28,38,34,46,5,98,48,41,46,87
RC Recreativo,38,8,9,21,-23,34,33,40,0,92,48,31,40,71
Córdoba CF,38,3,11,24,-46,22,20,189,4,101,154,172,189,361
