Club,Partidos,V,E,D,DG,Goles,Pts,Faltas,T.R,T.A,Corner,TaP,Tf,Tt
FC Barcelona,38,30,6,2,74,95,96,228,1,72,256,250,228,478
Real Madrid CF,38,29,5,4,69,102,92,289,3,98,259,307,289,596
Valencia CF,38,21,8,9,20,64,71,179,3,116,222,179,179,358
Villarreal CF,38,18,8,12,10,54,62,185,2,92,142,186,185,371
Athletic Club de Bilbao,38,18,4,16,4,59,58,181,3,105,190,150,181,331
Atlético Madrid,38,17,7,14,9,62,58,219,5,107,227,189,219,408
Sevilla FC,38,17,7,14,1,62,58,196,3,105,173,182,196,378
RCD Espanyol,38,15,4,19,-9,46,49,85,3,107,89,92,85,177
CA Osasuna,38,13,8,17,-1,45,47,117,2,113,120,86,117,203
Real Sporting de Gijón,38,11,14,13,-7,35,47,69,3,99,52,49,69,118
Málaga CF,38,13,7,18,-14,54,46,83,4,100,74,58,83,141
Racing Santander,38,12,10,16,-15,41,46,73,5,89,63,72,73,145
Real Sociedad,38,14,3,21,-17,49,45,108,0,78,108,93,108,201
Levante UD,38,12,9,17,-11,41,45,36,3,120,38,45,36,81
Real Zaragoza,38,12,9,17,-13,40,45,95,5,123,84,100,95,195
Getafe CF,38,12,8,18,-11,49,44,122,3,114,125,95,122,217
RCD Mallorca,38,12,8,18,-15,41,44,156,3,86,123,127,156,283
RC Deportivo de La Coruña,38,10,13,15,-16,31,43,110,1,89,86,79,110,189
Hércules Club de Fútbol,38,9,8,21,-24,36,35,57,4,92,71,61,57,118
UD Almería,38,6,12,20,-34,36,30,100,2,98,109,73,100,173
