id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
43035,10267,461.0,Valencia CF,VAL
43036,8661,453.0,RCD Mallorca,MAL
43037,8371,479.0,CA Osasuna,OSA
43038,10205,483.0,Villarreal CF,VIL
43039,9783,242.0,RC Deportivo de La Coruña,COR
43040,8633,243.0,Real Madrid CF,REA
43041,8388,477.0,CD Numancia,NUM
43042,8634,241.0,FC Barcelona,BAR
43043,8696,456.0,Racing Santander,SAN
43044,8302,481.0,Sevilla FC,SEV
43045,9869,459.0,Real Sporting de Gijón,SPG
43046,8305,1860.0,Getafe CF,GET
43047,8603,449.0,Real Betis Balompié,BET
43048,8479,571.0,RC Recreativo,HUE
43049,8558,452.0,RCD Espanyol,ESP
43050,10281,462.0,Real Valladolid,VAL
43051,8315,448.0,Athletic Club de Bilbao,BIL
43052,9865,1861.0,UD Almería,ALM
43053,9906,240.0,Atlético Madrid,AMA
43054,9864,573.0,Málaga CF,MAL
43800,9868,1742.0,Xerez Club Deportivo,XER
43803,8394,244.0,Real Zaragoza,ZAR
43804,9867,260.0,CD Tenerife,TEN
44557,10278,100879.0,Hércules Club de Fútbol,HER
44565,8581,1853.0,Levante UD,LEV
44569,8560,457.0,Real Sociedad,SOC
45330,7878,110832.0,Granada CF,GRA
45333,8370,480.0,Rayo Vallecano,RAY
46087,9910,450.0,RC Celta de Vigo,CEL
46848,10268,468.0,Elche CF,ELC
47605,8372,467.0,SD Eibar,EIB
47612,7869,1867.0,Córdoba CF,COR
48358,8306,472.0,UD Las Palmas,LAS
